cust_id,age,income,region,account_type,loan_type,account_open_date,balance,days_past_due,monthly_payment,credit_limit,status,bucket,risk_flag,risk_level,vintage_days,utilization
1,23,63527,East,"Credit Card",Mortgage,2017-01-18,421988,35,7513,481031,Delinquent,30-60,good,medium,3382,0.877257
2,49,45827,East,Current,"Auto Loan",2022-01-15,197938,95,4391,286382,Charged-off,90+,bad,High,1559,0.691168
3,55,76476,North,Loan,"Personal Loan",2019-12-04,222253,120,21034,335671,Charged-off,90+,bad,High,2332,0.662116
4,59,118912,South,Loan,"Credit Card",2022-02-07,38958,35,42379,188862,Delinquent,30-60,good,medium,1536,0.206278
5,38,126580,West,Savings,"Personal Loan",2023-11-22,268200,0,38754,322395,Current,Current,good,low,883,0.831899
6,40,151547,South,Savings,"Credit Card",2022-03-29,245613,120,41745,83081,Charged-off,90+,bad,High,1486,2.95631
7,63,75750,East,Savings,"Auto Loan",2017-08-12,773377,20,23456,222059,Delinquent,0-30,good,low,3176,3.48275
8,43,141833,West,Current,Mortgage,2023-11-04,210159,0,49011,357931,Current,Current,good,low,901,0.58715
9,54,164942,South,Loan,"Credit Card",2024-07-11,613454,70,27868,409336,Charged-off,60-90,bad,High,651,1.49866
10,53,197972,West,Savings,"Credit Card",2024-10-07,733065,10,42773,183502,Delinquent,0-30,good,low,563,3.99486
11,30,49583,West,"Credit Card","Personal Loan",2018-11-11,49952,70,43200,94738,Charged-off,60-90,bad,High,2720,0.527265
12,53,162846,South,Loan,"Credit Card",2019-12-10,465589,0,23586,414031,Current,Current,good,low,2326,1.12453
13,53,75711,North,"Credit Card","Personal Loan",2021-05-04,213071,70,20242,254591,Charged-off,60-90,bad,High,1815,0.836915
14,46,163974,North,"Credit Card","Auto Loan",2018-05-19,748570,10,40413,189382,Delinquent,0-30,good,low,2896,3.9527
15,40,132797,East,"Credit Card",Mortgage,2023-12-28,443013,20,5711,477202,Delinquent,0-30,good,low,847,0.928355
16,35,186085,East,"Credit Card","Auto Loan",2021-02-15,755105,35,13075,308545,Delinquent,30-60,good,medium,1893,2.44731
17,57,184331,East,Savings,"Credit Card",2024-10-23,298307,35,25044,353878,Delinquent,30-60,good,medium,547,0.842966
18,53,50875,West,"Credit Card","Credit Card",2023-07-22,113085,0,12718,100050,Current,Current,good,low,1006,1.13028
19,37,78285,West,"Credit Card",Mortgage,2019-01-09,25904,0,32703,465989,Current,Current,good,low,2661,0.0555893
20,25,53558,South,"Credit Card","Credit Card",2024-01-12,582714,70,48430,117800,Charged-off,60-90,bad,High,832,4.94664
