cust_id,age,income,region,account_type,loan_type,account_open_date,balance,days_past_due,monthly_payment,credit_limit,status,bucket,risk_flag,risk_level,vintage_days,utilization,collection_strategy
1,23,63527,East,Credit Card,Mortgage,2017-01-18,421988,35,7513,481031,Delinquent,30-60,good,medium,3382,0.877257390895805,Soft
2,49,45827,East,Current,Auto Loan,2022-01-15,197938,95,4391,286382,Charged-off,90+,bad,High,1559,0.691167740989308,Aggressive
3,55,76476,North,Loan,Personal Loan,2019-12-04,222253,120,21034,335671,Charged-off,90+,bad,High,2332,0.662115583413521,Aggressive
4,59,118912,South,Loan,Credit Card,2022-02-07,38958,35,42379,188862,Delinquent,30-60,good,medium,1536,0.20627759951710772,Soft
5,38,126580,West,Savings,Personal Loan,2023-11-22,268200,0,38754,322395,Current,Current,good,low,883,0.8318987577350765,Soft
6,40,151547,South,Savings,Credit Card,2022-03-29,245613,120,41745,83081,Charged-off,90+,bad,High,1486,2.956307699714736,Aggressive
7,63,75750,East,Savings,Auto Loan,2017-08-12,773377,20,23456,222059,Delinquent,0-30,good,low,3176,3.4827545832413906,Soft
8,43,141833,West,Current,Mortgage,2023-11-04,210159,0,49011,357931,Current,Current,good,low,901,0.5871494785307783,Soft
9,54,164942,South,Loan,Credit Card,2024-07-11,613454,70,27868,409336,Charged-off,60-90,bad,High,651,1.4986563605448824,Aggressive
10,53,197972,West,Savings,Credit Card,2024-10-07,733065,10,42773,183502,Delinquent,0-30,good,low,563,3.994861091432246,Soft
11,30,49583,West,Credit Card,Personal Loan,2018-11-11,49952,70,43200,94738,Charged-off,60-90,bad,High,2720,0.527264666765184,Aggressive
12,53,162846,South,Loan,Credit Card,2019-12-10,465589,0,23586,414031,Current,Current,good,low,2326,1.1245269074054842,Soft
13,53,75711,North,Credit Card,Personal Loan,2021-05-04,213071,70,20242,254591,Charged-off,60-90,bad,High,1815,0.8369148948705963,Aggressive
14,46,163974,North,Credit Card,Auto Loan,2018-05-19,748570,10,40413,189382,Delinquent,0-30,good,low,2896,3.9526987781309733,Soft
15,40,132797,East,Credit Card,Mortgage,2023-12-28,443013,20,5711,477202,Delinquent,0-30,good,low,847,0.9283552876978722,Soft
16,35,186085,East,Credit Card,Auto Loan,2021-02-15,755105,35,13075,308545,Delinquent,30-60,good,medium,1893,2.4473091445332122,Soft
17,57,184331,East,Savings,Credit Card,2024-10-23,298307,35,25044,353878,Delinquent,30-60,good,medium,547,0.8429656548301957,Soft
18,53,50875,West,Credit Card,Credit Card,2023-07-22,113085,0,12718,100050,Current,Current,good,low,1006,1.1302848575712143,Soft
19,37,78285,West,Credit Card,Mortgage,2019-01-09,25904,0,32703,465989,Current,Current,good,low,2661,0.05558929502627744,Soft
20,25,53558,South,Credit Card,Credit Card,2024-01-12,582714,70,48430,117800,Charged-off,60-90,bad,High,832,4.946638370118846,Aggressive
21,24,29864,West,Credit Card,Personal Loan,2023-06-21,197513,0,12915,88315,Current,Current,good,low,1037,2.2364603974409785,Soft
22,23,98656,West,Loan,Auto Loan,2017-03-15,182924,0,48585,172566,Current,Current,good,low,3326,1.0600234113324758,Soft
23,41,55592,North,Current,Credit Card,2021-07-13,400177,20,44585,94123,Delinquent,0-30,good,low,1745,4.251638813042508,Soft
24,60,151723,East,Loan,Mortgage,2023-12-01,5780,50,47960,373820,Delinquent,30-60,good,medium,874,0.015461987052592156,Soft
25,23,173598,East,Savings,Mortgage,2018-07-06,705915,0,25706,272588,Current,Current,good,low,2848,2.5896774619572396,Soft
26,41,113241,West,Current,Personal Loan,2017-09-27,744535,35,24671,107678,Delinquent,30-60,good,medium,3130,6.914457920838054,Soft
27,28,181402,West,Savings,Mortgage,2025-01-10,795372,0,30665,147859,Current,Current,good,low,468,5.379259970647712,Soft
28,62,124357,East,Savings,Personal Loan,2017-05-08,338680,0,35472,333383,Current,Current,good,low,3272,1.0158886325937435,Soft
29,56,145336,South,Current,Credit Card,2018-03-18,432534,0,8123,38126,Current,Current,good,low,2958,11.344856528353354,Soft
30,49,69779,North,Current,Personal Loan,2021-09-08,338029,35,18539,103329,Delinquent,30-60,good,medium,1688,3.2713855742337583,Soft
31,59,149408,East,Current,Personal Loan,2019-11-11,418889,50,1874,144938,Delinquent,30-60,good,medium,2355,2.8901254329437416,Soft
32,54,104784,South,Loan,Personal Loan,2023-01-26,757522,0,30438,152381,Current,Current,good,low,1183,4.971236571488571,Soft
33,42,97086,North,Loan,Mortgage,2018-01-24,746905,0,16502,207384,Current,Current,good,low,3011,3.60155556841415,Soft
34,51,169047,West,Loan,Credit Card,2017-10-02,396098,50,10447,402706,Delinquent,30-60,good,medium,3125,0.9835910068387359,Soft
35,48,67397,North,Loan,Mortgage,2024-10-09,337309,120,30604,297274,Charged-off,90+,bad,High,561,1.134673735341806,Aggressive
36,55,138531,West,Savings,Mortgage,2017-05-30,146270,0,9703,481982,Current,Current,good,low,3250,0.30347606342145556,Soft
37,54,137832,North,Credit Card,Auto Loan,2021-12-06,524446,10,10819,327783,Delinquent,0-30,good,low,1599,1.5999792545678087,Soft
