customer_id,age,income,region,account_type,loan_type,account_open_date,balance,days_past_due,monthly_payment,credit_limit,status,bucket,risk_flag,risk_catagory,vintage_days,utilization
1,23,63527,East,Credit Card,Mortgage,2017-01-18,421988,35,7513,481031,Delinquent,30-60,good,medium,3384,0.877257390895805
2,49,45827,East,Current,Auto Loan,2022-01-15,197938,95,4391,286382,Charged-off,90+,bad,High,1561,0.691167740989308
3,55,76476,North,Loan,Personal Loan,2019-12-04,222253,120,21034,335671,Charged-off,90+,bad,High,2334,0.662115583413521
4,59,118912,South,Loan,Credit Card,2022-02-07,38958,35,42379,188862,Delinquent,30-60,good,medium,1538,0.2062775995171077
5,38,126580,West,Savings,Personal Loan,2023-11-22,268200,0,38754,322395,Current,Current,good,low,885,0.8318987577350765
6,40,151547,South,Savings,Credit Card,2022-03-29,245613,120,41745,83081,Charged-off,90+,bad,High,1488,2.956307699714736
7,63,75750,East,Savings,Auto Loan,2017-08-12,773377,20,23456,222059,Delinquent,0-30,good,low,3178,3.48275458324139
8,43,141833,West,Current,Mortgage,2023-11-04,210159,0,49011,357931,Current,Current,good,low,903,0.5871494785307783
9,54,164942,South,Loan,Credit Card,2024-07-11,613454,70,27868,409336,Charged-off,60-90,bad,High,653,1.4986563605448824
10,53,197972,West,Savings,Credit Card,2024-10-07,733065,10,42773,183502,Delinquent,0-30,good,low,565,3.994861091432246
11,30,49583,West,Credit Card,Personal Loan,2018-11-11,49952,70,43200,94738,Charged-off,60-90,bad,High,2722,0.527264666765184
12,53,162846,South,Loan,Credit Card,2019-12-10,465589,0,23586,414031,Current,Current,good,low,2328,1.1245269074054842
13,53,75711,North,Credit Card,Personal Loan,2021-05-04,213071,70,20242,254591,Charged-off,60-90,bad,High,1817,0.8369148948705963
14,46,163974,North,Credit Card,Auto Loan,2018-05-19,748570,10,40413,189382,Delinquent,0-30,good,low,2898,3.952698778130973
15,40,132797,East,Credit Card,Mortgage,2023-12-28,443013,20,5711,477202,Delinquent,0-30,good,low,849,0.9283552876978722
16,35,186085,East,Credit Card,Auto Loan,2021-02-15,755105,35,13075,308545,Delinquent,30-60,good,medium,1895,2.447309144533212
17,57,184331,East,Savings,Credit Card,2024-10-23,298307,35,25044,353878,Delinquent,30-60,good,medium,549,0.8429656548301957
18,53,50875,West,Credit Card,Credit Card,2023-07-22,113085,0,12718,100050,Current,Current,good,low,1008,1.1302848575712143
19,37,78285,West,Credit Card,Mortgage,2019-01-09,25904,0,32703,465989,Current,Current,good,low,2663,0.0555892950262774
20,25,53558,South,Credit Card,Credit Card,2024-01-12,582714,70,48430,117800,Charged-off,60-90,bad,High,834,4.946638370118846
21,24,29864,West,Credit Card,Personal Loan,2023-06-21,197513,0,12915,88315,Current,Current,good,low,1039,2.2364603974409785
22,23,98656,West,Loan,Auto Loan,2017-03-15,182924,0,48585,172566,Current,Current,good,low,3328,1.0600234113324758
23,41,55592,North,Current,Credit Card,2021-07-13,400177,20,44585,94123,Delinquent,0-30,good,low,1747,4.251638813042508
24,60,151723,East,Loan,Mortgage,2023-12-01,5780,50,47960,373820,Delinquent,30-60,good,medium,876,0.0154619870525921
25,23,173598,East,Savings,Mortgage,2018-07-06,705915,0,25706,272588,Current,Current,good,low,2850,2.58967746195724
26,41,113241,West,Current,Personal Loan,2017-09-27,744535,35,24671,107678,Delinquent,30-60,good,medium,3132,6.914457920838054
27,28,181402,West,Savings,Mortgage,2025-01-10,795372,0,30665,147859,Current,Current,good,low,470,5.379259970647712
