customer_id,age,income,region,account_type,loan_type,account_open_date,balance,days_past_due,monthly_payment,credit_limit,status,bucket
1,23,63527,East,Credit Card,Mortgage,2017-01-18,421988,35,7513,481031,Delinquent,30-60
2,49,45827,East,Current,Auto Loan,2022-01-15,197938,95,4391,286382,Charged-off,90+
3,55,76476,North,Loan,Personal Loan,2019-12-04,222253,120,21034,335671,Charged-off,90+
4,59,118912,South,Loan,Credit Card,2022-02-07,38958,35,42379,188862,Delinquent,30-60
5,38,126580,West,Savings,Personal Loan,2023-11-22,268200,0,38754,322395,Current,Current
6,40,151547,South,Savings,Credit Card,2022-03-29,245613,120,41745,83081,Charged-off,90+
7,63,75750,East,Savings,Auto Loan,2017-08-12,773377,20,23456,222059,Delinquent,0-30
8,43,141833,West,Current,Mortgage,2023-11-04,210159,0,49011,357931,Current,Current
9,54,164942,South,Loan,Credit Card,2024-07-11,613454,70,27868,409336,Charged-off,60-90
10,53,197972,West,Savings,Credit Card,2024-10-07,733065,10,42773,183502,Delinquent,0-30
11,30,49583,West,Credit Card,Personal Loan,2018-11-11,49952,70,43200,94738,Charged-off,60-90
12,53,162846,South,Loan,Credit Card,2019-12-10,465589,0,23586,414031,Current,Current
13,53,75711,North,Credit Card,Personal Loan,2021-05-04,213071,70,20242,254591,Charged-off,60-90
14,46,163974,North,Credit Card,Auto Loan,2018-05-19,748570,10,40413,189382,Delinquent,0-30
15,40,132797,East,Credit Card,Mortgage,2023-12-28,443013,20,5711,477202,Delinquent,0-30
16,35,186085,East,Credit Card,Auto Loan,2021-02-15,755105,35,13075,308545,Delinquent,30-60
17,57,184331,East,Savings,Credit Card,2024-10-23,298307,35,25044,353878,Delinquent,30-60
18,53,50875,West,Credit Card,Credit Card,2023-07-22,113085,0,12718,100050,Current,Current
19,37,78285,West,Credit Card,Mortgage,2019-01-09,25904,0,32703,465989,Current,Current
20,25,53558,South,Credit Card,Credit Card,2024-01-12,582714,70,48430,117800,Charged-off,60-90
21,24,29864,West,Credit Card,Personal Loan,2023-06-21,197513,0,12915,88315,Current,Current
22,23,98656,West,Loan,Auto Loan,2017-03-15,182924,0,48585,172566,Current,Current
23,41,55592,North,Current,Credit Card,2021-07-13,400177,20,44585,94123,Delinquent,0-30
24,60,151723,East,Loan,Mortgage,2023-12-01,5780,50,47960,373820,Delinquent,30-60
25,23,173598,East,Savings,Mortgage,2018-07-06,705915,0,25706,272588,Current,Current
26,41,113241,West,Current,Personal Loan,2017-09-27,744535,35,24671,107678,Delinquent,30-60
27,28,181402,West,Savings,Mortgage,2025-01-10,795372,0,30665,147859,Current,Current
28,62,124357,East,Savings,Personal Loan,2017-05-08,338680,0,35472,333383,Current,Current
29,56,145336,South,Current,Credit Card,2018-03-18,432534,0,8123,38126,Current,Current
30,49,69779,North,Current,Personal Loan,2021-09-08,338029,35,18539,103329,Delinquent,30-60
31,59,149408,East,Current,Personal Loan,2019-11-11,418889,50,1874,144938,Delinquent,30-60
32,54,104784,South,Loan,Personal Loan,2023-01-26,757522,0,30438,152381,Current,Current
33,42,97086,North,Loan,Mortgage,2018-01-24,746905,0,16502,207384,Current,Current
34,51,169047,West,Loan,Credit Card,2017-10-02,396098,50,10447,402706,Delinquent,30-60
35,48,67397,North,Loan,Mortgage,2024-10-09,337309,120,30604,297274,Charged-off,90+
36,55,138531,West,Savings,Mortgage,2017-05-30,146270,0,9703,481982,Current,Current
37,54,137832,North,Credit Card,Auto Loan,2021-12-06,524446,10,10819,327783,Delinquent,0-30
38,33,103233,East,Loan,Credit Card,2020-10-17,354888,10,41742,320575,Delinquent,0-30
